term;cat_answer;Func_answer;ant_answer;syn_answer;comp_answer;;;;;;;;;;;;;;;;;;;;
Saxophone;Instrument;Play;Silence ;Sax;Band ;;;;;;;;;;;;;;;;;;;;
Teaspoon ;Object ;Stir ;Knife;Spoon ;Kitchen;;;;;;;;;;;;;;;;;;;;
Winter;Season;Freeze ;Summer ;Cold season;Ice age ;;;;;;;;;;;;;;;;;;;;
Beetle;Insect;Crawl;Elephant;Scarab;Coleoptera;;;;;;;;;;;;;;;;;;;;
Orange roughy;Fish;Swim;Camel;Slimehead ;School ;;;;;;;;;;;;;;;;;;;;
Pigeon;Bird;Fly;Shark ;Dove;Flock;;;;;;;;;;;;;;;;;;;;
Mosquito;Insect;Buzz;Frog;Skeeter;Cloud;;;;;;;;;;;;;;;;;;;;
Sparrow;Bird;Fly;Elephant ;Songbird;Flock;;;;;;;;;;;;;;;;;;;;
Bus;Vehicle;Drive;Bike;Shuttle ;Fleet ;;;;;;;;;;;;;;;;;;;;
Shoes;Clothing;Wear;Hat;Footwear;Wardrobe;;;;;;;;;;;;;;;;;;;;
Golf;Sport;Swing ;Swimming ;Links ;Tournament;;;;;;;;;;;;;;;;;;;;
Van;Vehicle;Drive;Single-seater;Wagon;Camping site ;;;;;;;;;;;;;;;;;;;;
Cod;Fish;Swim;Worm;Codling ;Shoal;;;;;;;;;;;;;;;;;;;;
Dresser;Furniture ;Contain;Shredder;Closet;Bedroom;;;;;;;;;;;;;;;;;;;;
Baseball;Sport;Pitch;Swimming ;Hardball;Super bowl;;;;;;;;;;;;;;;;;;;;
Coat;Clothing;Wear;Underwear ;Jacket ;Collection;;;;;;;;;;;;;;;;;;;;
Hacksaw;Tool;Cut;Hammer;Saw;Toolshed ;;;;;;;;;;;;;;;;;;;;
Football;Sport;Kick;Basketball;Soccer ;Champions league;;;;;;;;;;;;;;;;;;;;
Daffodil;Flower;Bloom;Concrete;Narcissus;Flower field ;;;;;;;;;;;;;;;;;;;;
Pear ;Fruit;Eat;Apple ;Pyrus ;Orchard ;;;;;;;;;;;;;;;;;;;;
Potatoe;Vegetable ;Boil;Meat ;Spud;Potato patch ;;;;;;;;;;;;;;;;;;;;
Forward ;Position;Attack ;Backward ;Striker;Football ;;;;;;;;;;;;;;;;;;;;
Forwards;Movement ;Send ;Backwards;Onward;Email ;;;;;;;;;;;;;;;;;;;;
Hell;Place;Burn;Heaven;Inferno;Afterlife ;;;;;;;;;;;;;;;;;;;;
Hot;Temperature;Melt ;Cold;Spicy;Summer ;;;;;;;;;;;;;;;;;;;;
Black;Color;Darken;White;Dark;Night;;;;;;;;;;;;;;;;;;;;
Short;Size;Shrink ;Tall;Small;Miniskirt ;;;;;;;;;;;;;;;;;;;;
Female;Sex;Exist ;Male;Woman;Humans;;;;;;;;;;;;;;;;;;;;
Second;Order ;Settle;Second last;Two;Competiton;;;;;;;;;;;;;;;;;;;;
Rabbit;Animal;Hop;Turtle;Bunny;Colony ;;;;;;;;;;;;;;;;;;;;
Hole;Place;Dig;Mound;Pit;Ground ;;;;;;;;;;;;;;;;;;;;
Snow;Weather;Fall;Sunshine;Graupel;Avalanche;;;;;;;;;;;;;;;;;;;;
Shirt;Clothing;Wear;Pants;Top;Outfit;;;;;;;;;;;;;;;;;;;;
Wood;Material;Carve ;Steel;Log;Table ;;;;;;;;;;;;;;;;;;;;
Hands ;Body part;Touch ;Feet;Palms;Octopus;;;;;;;;;;;;;;;;;;;;
Hammer ;Tool;Hit ;Feather;Gavel;Toolbox;;;;;;;;;;;;;;;;;;;;
Envelope;Stationery;Open;Shredder;Packet ;Post ;;;;;;;;;;;;;;;;;;;;
Chair;Furniture ;Sit;Table;Seat;Seating arangement ;;;;;;;;;;;;;;;;;;;;
Pan;Cookware;Cook;Freezer;Skillet;Kitchen ;;;;;;;;;;;;;;;;;;;;
Wind;Weather;Howl;Earth;Zephyr;Storm ;;;;;;;;;;;;;;;;;;;;
Water;Element;Swim;Fire;Aqua;Tsunami ;;;;;;;;;;;;;;;;;;;;
Battle;Event;Attack ;Peace;Conflict ;Warzone ;;;;;;;;;;;;;;;;;;;;
Statue;Art;Carve ;Painting;Sculpture ;Museum;;;;;;;;;;;;;;;;;;;;
Cup;Dishware;Drink ;Plate;Mug;Gallon;;;;;;;;;;;;;;;;;;;;
Parachute;Device;Jump;Anchor;Chute ;Skydiving ;;;;;;;;;;;;;;;;;;;;
Boat;Vehicle;Sail ;Airplane;Ship;Fleet ;;;;;;;;;;;;;;;;;;;;
Up;Position;Rise ;Down;Upward;Space;;;;;;;;;;;;;;;;;;;;
Head;Body part;Think;Tail;Cranium ;Human;;;;;;;;;;;;;;;;;;;;
Child;Human;Play;Parent;Kid ;Kindergarten;;;;;;;;;;;;;;;;;;;;
Before;Time;Ruminate ;After;Prior;History;;;;;;;;;;;;;;;;;;;;
Doctor;Profession;Medicate ;Patient;Physician;Hospital;;;;;;;;;;;;;;;;;;;;
North;Direction;Freeze;South;Boreal;North pole;;;;;;;;;;;;;;;;;;;;
West;Direction;Travel ;East;Occident;USA;;;;;;;;;;;;;;;;;;;;
Tie;Acessory;Fasten ;Untie;Cravat;Suit;;;;;;;;;;;;;;;;;;;;
In front;Orientation;Look;Behind ;Ahead ;Lineup ;;;;;;;;;;;;;;;;;;;;
Good;Standard;Uplift ;Bad;Virtuous;Charity ;;;;;;;;;;;;;;;;;;;;
Cellar;Place;Store;Attic;Basement ;House ;;;;;;;;;;;;;;;;;;;;
Full;State;Satiate;Empty;Satisfied;Moon;;;;;;;;;;;;;;;;;;;;
Man;Gender ;Shave ;Woman;Male;Patriarchy;;;;;;;;;;;;;;;;;;;;
Woman;Gender ;Think ;Man;Female;Matriarchy;;;;;;;;;;;;;;;;;;;;
Sister;Family member;Play ;Brother;Sibling ;Household;;;;;;;;;;;;;;;;;;;;
Son;Family member ;Run;Daughter;Boy;Clan;;;;;;;;;;;;;;;;;;;;
Husband;Person;Marry;Wife;Spouse;Marriage ;;;;;;;;;;;;;;;;;;;;
She;Pronoun;Speak;He;Girl ;Bevy;;;;;;;;;;;;;;;;;;;;
Day;Time;Pass;Night;24 hours;Week;;;;;;;;;;;;;;;;;;;;
Night;Time;Sleep;Day;Midnight;Week;;;;;;;;;;;;;;;;;;;;
Floor;Arciterctural element;Walk;Ceiling;Ground;Building;;;;;;;;;;;;;;;;;;;;
Spring ;Season;Blossom ;Autumn ;Vernal ;Year ;;;;;;;;;;;;;;;;;;;;
Spring;Mechanism ;Rebound;Beam;Coil ;Bed ;;;;;;;;;;;;;;;;;;;;
Evening;Time;Dim ;Morning;Dusk ;Day;;;;;;;;;;;;;;;;;;;;
Earth;Planet ;Rotate;Sky;World ;Solar system;;;;;;;;;;;;;;;;;;;;
Future;Time;Anticipate ;Past;Upcoming;Timeline;;;;;;;;;;;;;;;;;;;;
Teacher;Profession;Teach;Student ;Educator ;School;;;;;;;;;;;;;;;;;;;;
Third;Order;Finish;Third last;Three;Competition;;;;;;;;;;;;;;;;;;;;
Friend;Relationship;Laugh;Enemy;Buddy;Friend group ;;;;;;;;;;;;;;;;;;;;
Rich;Description;Shop;Poor;Wealthy;Billionaire;;;;;;;;;;;;;;;;;;;;
Success;Outcome;Achieve;Fail;Accomplishement;Famous ;;;;;;;;;;;;;;;;;;;;
Joy;Emotion;Rejoice;Sorrow;Happiness;Celebration;;;;;;;;;;;;;;;;;;;;
Arrive;Action;Greet;Depart;Come;Airport;;;;;;;;;;;;;;;;;;;;
Lawyer;Profession;Advise;Client;Advocate;Law firm ;;;;;;;;;;;;;;;;;;;;
Win;Outcome;Cheer;Lose;Triumph;Contest;;;;;;;;;;;;;;;;;;;;
Growth;Biology ;Change;Wither;Development;Adolescence;;;;;;;;;;;;;;;;;;;;
Selfish;Trait;Exploit;Generous;Self-centered;Narcissist;;;;;;;;;;;;;;;;;;;;
Last;Order;Survive;First;Remain;Competition;;;;;;;;;;;;;;;;;;;;
Cheap;Value;Buy;Expensive;Low-priced;Sales;;;;;;;;;;;;;;;;;;;;
Dark;Description;Sleep;Bright;Black;Night ;;;;;;;;;;;;;;;;;;;;
Strong;Description;Lift ;Weak;Powerful;Superman;;;;;;;;;;;;;;;;;;;;
Calm ;Emotion;Pacify;Stormy;Relaxed;Meditation;;;;;;;;;;;;;;;;;;;;
Awake ;State;Stir ;Asleep ;Arouse;Morning;;;;;;;;;;;;;;;;;;;;
Bent ;Position;Straighten;Straight ;Crooked;Kyphosis ;;;;;;;;;;;;;;;;;;;;
Yellow;Color;Paint;Purple;Golden;Color wheel;;;;;;;;;;;;;;;;;;;;
Fact;Information;State;Fiction;Truth;Database;;;;;;;;;;;;;;;;;;;;
Landlord;Legal role;Rent;Tenant;Proprietor ;Lease;;;;;;;;;;;;;;;;;;;;
Master;Status;Order;Servant;Lord;Feudal system;;;;;;;;;;;;;;;;;;;;
Nobody;Identity;Disappear;Somebody;Menial ;Crowd;;;;;;;;;;;;;;;;;;;;
War;Event;Fight;Peace;Conflict ;World war ;;;;;;;;;;;;;;;;;;;;
Devil;Mythology;Torment;Angle;Satan;Hell;;;;;;;;;;;;;;;;;;;;
Clean;State;Swipe;Dirty;Organised ;Cleanroom ;;;;;;;;;;;;;;;;;;;;
Shallow;Depth ;Skim;Deep;Superficial;Bahamas ;;;;;;;;;;;;;;;;;;;;
Early;Time;Awake;Late;Premature ;Sunrise;;;;;;;;;;;;;;;;;;;;
Easy ;Standard;Complete X;Hard;Effortless;Convenience culture ;;;;;;;;;;;;;;;;;;;;
Far;Distance ;Travel ;Close;Distant;Voyager 1;;;;;;;;;;;;;;;;;;;;
Fast;Characteristics ;Race ;Slow;Rapid;The peregrine falcon;;;;;;;;;;;;;;;;;;;;
Thin;Characteristics ;Sway;Fat;Skinny;Modelling agency ;;;;;;;;;;;;;;;;;;;;
Heavy ;Characteristics ;Sink ;Light;Substantial;Blue whale;;;;;;;;;;;;;;;;;;;;
Pipe Organ;Instrument;Play;Castanets;Church organ;Church;;;;;;;;;;;;;;;;;;;;
Safe;Description;Guard ;Unsafe;Secure ;World peace ;;;;;;;;;;;;;;;;;;;;
Single;Status;Date;Married;Alone;Dating app;;;;;;;;;;;;;;;;;;;;
Soft;Description;Touch ;Hard;Smooth;Bunny ;;;;;;;;;;;;;;;;;;;;
Young;Age ;Grow ;Old ;Juvenile;School;;;;;;;;;;;;;;;;;;;;
Land;Location;Walk ;Ocean;Earth;Continent;;;;;;;;;;;;;;;;;;;;
New;Description;Marvel ;Old ;Modern;Store;;;;;;;;;;;;;;;;;;;;
Fourth;Order ;Place;Fourth last;Four;Competition;;;;;;;;;;;;;;;;;;;;
Harm;Action;Punch;Heal;Injure ;Death;;;;;;;;;;;;;;;;;;;;
Cry;Expression;Wipe;Laugh;Weep;Depression;;;;;;;;;;;;;;;;;;;;
Angry;Emotion;Shout;Content;Furious;Argument;;;;;;;;;;;;;;;;;;;;
Courage;Trait;Adventure;Coward;Bravery;Gryffindor ;;;;;;;;;;;;;;;;;;;;
Wealthy;Status;Invest;Poor;Rich;Monaco;;;;;;;;;;;;;;;;;;;;
Awful;Trait;Harm;Kind;Horrible ;Torture ;;;;;;;;;;;;;;;;;;;;
Beginning;Event;Ignite;End;Start;Big bang ;;;;;;;;;;;;;;;;;;;;
Famous;Status;Pose;Unknown;Renowned;Hall of Fame;;;;;;;;;;;;;;;;;;;;
Little ;Size;Reach;Big;Small;Kindergarten;;;;;;;;;;;;;;;;;;;;
Usual;Description;Automize;Unusual;Normal;Habit;;;;;;;;;;;;;;;;;;;;
Leave;Action;Wave ;Arrive;Depart;Farewell party;;;;;;;;;;;;;;;;;;;;
Fortunate;Description ;Win;Unlucky;Lucky ;Lucky strike;;;;;;;;;;;;;;;;;;;;
Precise;Trait;Refine;Ambiguous;Exact;Scale ;;;;;;;;;;;;;;;;;;;;
Garbage;Material ;Discard;Treasure;Trash;Landfill;;;;;;;;;;;;;;;;;;;;
Raise;Achievement ;Promote ;Demote ;Promotion;Company ;;;;;;;;;;;;;;;;;;;;
Bucket ;Vessel ;Fill;Hollow;Pail;Bathtub ;;;;;;;;;;;;;;;;;;;;
Love;Emotion;Cherish;Hate;Affection;Wedding;;;;;;;;;;;;;;;;;;;;
Gift ;Object ;Give ;Take;Donation ;Birthday ;;;;;;;;;;;;;;;;;;;;
Find;Action ;Search;Loose;Discover ;Treasure hunt;;;;;;;;;;;;;;;;;;;;
Abundant;Description;Accumulate;Scarce;Ample;Harvest festival ;;;;;;;;;;;;;;;;;;;;
Alive;Biological state;Respond ;Dead;Living ;Life;;;;;;;;;;;;;;;;;;;;
Ill;Biological state;Cough ;Healthy;Sick;Hospital;;;;;;;;;;;;;;;;;;;;
Junior;Status;Learn ;Senior;Minor;Office;;;;;;;;;;;;;;;;;;;;
Ignorance;State ;Misjudge ;Knowledge;Naivety;Fake news ;;;;;;;;;;;;;;;;;;;;
Leader;Societal position;Lead ;Follower;Chief;Plutocracy ;;;;;;;;;;;;;;;;;;;;
Insane ;State ;Spiral ;Sane ;Mad ;Mental hospital ;;;;;;;;;;;;;;;;;;;;
Mad ;Emotion ;Fume;Calm;Angry ;Revolution ;;;;;;;;;;;;;;;;;;;;
Immature ;Description;Misjudge ;Mature;Childish;Children;;;;;;;;;;;;;;;;;;;;
Odd;Trait ;Perplex;Normal;Strange;Occult shops;;;;;;;;;;;;;;;;;;;;
Even;Mathematical term;Count;Odd;Balanced ;Integers;;;;;;;;;;;;;;;;;;;;
Beautiful;Description;Admire ;Ugly;Gorgeous;Beauty pagent competition;;;;;;;;;;;;;;;;;;;;
Private;Ownership;Guard ;Public;Personal;Human mind ;;;;;;;;;;;;;;;;;;;;
Pure;Characteristics ;Distil ;Unholy;Innocent ;Children;;;;;;;;;;;;;;;;;;;;
Right;Direction;Turn ;Left;Dexter;Navigator ;;;;;;;;;;;;;;;;;;;;
Rough;Description;Scrape ;Smooth;Coarse;Rock;;;;;;;;;;;;;;;;;;;;
Second-hand;Status;Buy;New;Used;Thrift store ;;;;;;;;;;;;;;;;;;;;
Secure;Description;Protect ;Unsecure ;Safe;Bank ;;;;;;;;;;;;;;;;;;;;
Healthy;Biological state;Thrive ;Sick;Fit;Gym;;;;;;;;;;;;;;;;;;;;
Cloudy;Weather condition;Conceal;Sunny ;Gloomy ;Storm ;;;;;;;;;;;;;;;;;;;;
Synonyms;Language;Mirror ;Antonyms;Paralleles;Dictionary;;;;;;;;;;;;;;;;;;;;
False ;State;Deceive ;True ;Incorrect;Fake news ;;;;;;;;;;;;;;;;;;;;
Vacant;State;Hire ;Taken;Unoccupied ;LinkedIn ;;;;;;;;;;;;;;;;;;;;
Fifth;Order ;Obtain;Fifth last;Five ;Competition ;;;;;;;;;;;;;;;;;;;;
Drought;Disaster;Wither ;Flood;Aridity;Desert;;;;;;;;;;;;;;;;;;;;
Comedy;Entertainment;Laugh ;Tragedy;Humour ;Comedy show;;;;;;;;;;;;;;;;;;;;
Genes;Biology;Mutate ;Environment;DNA;Genome;;;;;;;;;;;;;;;;;;;;
Mutation;Biology ;Change ;Fixed;Alteration;Evolution ;;;;;;;;;;;;;;;;;;;;
Run;Action;Pant ;Still;Jog;Marathon ;;;;;;;;;;;;;;;;;;;;
Salt;Spice;Cook;Pepper;Sodium chloride;Salt lake ;;;;;;;;;;;;;;;;;;;;
Smoke;Substance ;Inhale ;Fresh air;Vapor;Fire ;;;;;;;;;;;;;;;;;;;;
Tornado;Weather phenomenon;Hide;Calm;Cyclone;Tornado Outbreak ;;;;;;;;;;;;;;;;;;;;
Sunny;Weather;Shine;Rain;Sunshine;Summer;;;;;;;;;;;;;;;;;;;;
Drowning;Event ;Flail;Floating;Sinking;Shipwreck;;;;;;;;;;;;;;;;;;;;
Bacteria;Prokaryotes;Infect;Antiseptic;Germ;Bacterial colony ;;;;;;;;;;;;;;;;;;;;
Crash;Event;Ram ;Land;Collision;Multiple-vehicle collision ;;;;;;;;;;;;;;;;;;;;
Ibuprofen;Drug;Alleviate ;Pain;Painkiller;Pharmacy ;;;;;;;;;;;;;;;;;;;;
School;Place ;Teach;Dropout;Academy;School district;;;;;;;;;;;;;;;;;;;;
Moon;Celestial body;Shine;Sun;Luna;Jovian system ;;;;;;;;;;;;;;;;;;;;
Victory;Outcome ;Celebrate ;Loss;Win;Competition ;;;;;;;;;;;;;;;;;;;;
Wax;Material;Coat;Silk;Paraffin;Candle ;;;;;;;;;;;;;;;;;;;;
Yin;Philosophy;Nurture;Yang;Feminine;Taijitu;;;;;;;;;;;;;;;;;;;;
Fire;Element ;Burn ;Water;Inferno;Wildfire ;;;;;;;;;;;;;;;;;;;;
Mouse;Animal;Scurry ;Elephant;Rodent;Nest;;;;;;;;;;;;;;;;;;;;
Wolf;Animal;Hunt ;Sheep;Canis lupus ;Pack ;;;;;;;;;;;;;;;;;;;;
Lamb;Animal;Graze ;Wolf;Sheep;Herd ;;;;;;;;;;;;;;;;;;;;
Hero;Archetype;Protect ;Villain;Champion;Marvel Universe ;;;;;;;;;;;;;;;;;;;;
King;Profession;Rule ;Queen;Ruler;Polyarchy;;;;;;;;;;;;;;;;;;;;
City;Place;Buzz;Countryside;Metropolis;Country ;;;;;;;;;;;;;;;;;;;;
Table tennis;Sport;Serve;Cycling;Ping Pong;Olympics;;;;;;;;;;;;;;;;;;;;
Extrovert;Trait;Socialize;Introvert;Social;Party;;;;;;;;;;;;;;;;;;;;
Cruel;Trait;Abuse ;Kind;Vicious ;War crimes ;;;;;;;;;;;;;;;;;;;;
Chaotic;Description;Stress;Organised;Disorganised ;Black Friday;;;;;;;;;;;;;;;;;;;;
Mario;Character ;Save ;Luigi;Hero;Mario kart ;;;;;;;;;;;;;;;;;;;;
Joker;Character ;Trick;Battman;Villan;The Dark Knight ;;;;;;;;;;;;;;;;;;;;
Tom;Character;Chase ;Jerry;Cat;Tom & Jerry series;;;;;;;;;;;;;;;;;;;;
Desert;Environment;Expand ;Forest;Wasteland;Sahara ;;;;;;;;;;;;;;;;;;;;
Ice;Substance ;Freeze;Fire;Frost;Ice age ;;;;;;;;;;;;;;;;;;;;
Rain;Weather;Fall;Sunny ;Mist;Monsoon ;;;;;;;;;;;;;;;;;;;;
Hare;Animal;Run;Tortoise;Rabbit;Husk;;;;;;;;;;;;;;;;;;;;
Rebel;Archertype;Defy ;Conform;Anarchist ;Rebellion ;;;;;;;;;;;;;;;;;;;;
Harry Potter;Character;Fight;Voldemort;Wizard;Harry Potter franchise ;;;;;;;;;;;;;;;;;;;;
Influencer ;Profession;Post ;Follower;Promoter ;Instagram ;;;;;;;;;;;;;;;;;;;;
Coach;Profession;Train;Player;Trainer ;Tournament;;;;;;;;;;;;;;;;;;;;
Sixth ;Order;Situate;Sixth last;Six;Competition;;;;;;;;;;;;;;;;;;;;
Apple ;Fruit;Bite;Banana ;The forbidden fruit ;Cider ;;;;;;;;;;;;;;;;;;;;
Beef;Food;Cook;Potatoe ;Steak ;Broth ;;;;;;;;;;;;;;;;;;;;
Ceramic;Material;Crack ;Steel ;Porcelain ;Jar ;;;;;;;;;;;;;;;;;;;;
Concrete;Material;Mix ;Grass;Cement ;Bridge ;;;;;;;;;;;;;;;;;;;;
Cotton;Material;Sew;Steel;Gossypium ;Socks ;;;;;;;;;;;;;;;;;;;;
Gold;Material;Search;Silver ;Yellow;Earring ;;;;;;;;;;;;;;;;;;;;
Rubber ;Material;Extract;Glass;Latex;Boots ;;;;;;;;;;;;;;;;;;;;
Silk ;Fabric ;Sew;Sandpaper;Satin;Slip dress;;;;;;;;;;;;;;;;;;;;
Stone;Material;Collect;Bunny ;Rock;Japanese dry garden;;;;;;;;;;;;;;;;;;;;
Wool;Material ;Felt ;Concrete ;Cashmere ;Scarf;;;;;;;;;;;;;;;;;;;;
Banana ;Fruit;Eat;Apple;Plantain;Muffin;;;;;;;;;;;;;;;;;;;;
Brick;Material ;Stack ;Cashmere;Block;House;;;;;;;;;;;;;;;;;;;;
Bronze;Material;Sculpt;Pale ;Brown ;Bronze medal;;;;;;;;;;;;;;;;;;;;
Cheese;Food;Savour ;Tomato;Cheddar;Fondue;;;;;;;;;;;;;;;;;;;;
Cherry;Fruit;Nibble;Whale ;Cerise ;Pie;;;;;;;;;;;;;;;;;;;;
Dark chocolate;Dessert;Enjoy ;White chocolate ;Plain chocolate ;Brownie;;;;;;;;;;;;;;;;;;;;
Denim;Clothing;Wear;Satin;Dungaree;Skirt;;;;;;;;;;;;;;;;;;;;
Blue;Color;Paint;Orange;Azure;Color wheel;;;;;;;;;;;;;;;;;;;;
Dreamer;Personality;Imagine ;Realist;Visionary;Art schools;;;;;;;;;;;;;;;;;;;;
Optimist;Personality;Hope;Pessimist;Idealist;The Civil Rights Movement;;;;;;;;;;;;;;;;;;;;
Empath;Trait;Feel;Sociopath;Compassionate;Charity ;;;;;;;;;;;;;;;;;;;;
Beliver ;Personality ;Believe;Cynic;Faithful;Religion ;;;;;;;;;;;;;;;;;;;;
Insider;Societal position;Know ;Outsider;Member ;Secret Society ;;;;;;;;;;;;;;;;;;;;
Foreigner;Societal position;Adapt ;Native;Outsider ;Tourist groups;;;;;;;;;;;;;;;;;;;;
Native;Societal position;Belong;Outsider;Local ;Country ;;;;;;;;;;;;;;;;;;;;
Protector;Societal role;Protect;Terrorist;Guardian;Army ;;;;;;;;;;;;;;;;;;;;
Innocent ;Trait ;Protect;Guilty ;Naive ;Child ;;;;;;;;;;;;;;;;;;;;
Saint;Character;Transcend ;Sinner;Holy;Heaven ;;;;;;;;;;;;;;;;;;;;
Host;Role;Host;Guest;Inviter;Party;;;;;;;;;;;;;;;;;;;;
Buyer;Role ;Buy;Seller;Consumer ;Auction ;;;;;;;;;;;;;;;;;;;;
Protagonist;Archetype;Lead;Anatagonist;Hero;Game of Thrones ;;;;;;;;;;;;;;;;;;;;
Fool;Archetype;Jest;Sage;Jester;Court;;;;;;;;;;;;;;;;;;;;
Destroyer;Archetype;Destroy;Creator ;Annihilator;War;;;;;;;;;;;;;;;;;;;;
Patriot;Person;Fight ;Traitor ;Nationalist;Xenophobia ;;;;;;;;;;;;;;;;;;;;
Defender;Archetype;Protect;Attacker;Guardian;Army ;;;;;;;;;;;;;;;;;;;;
Darth Vader;Villan;Oppress;Luke Skywalker ;Fallen hero;Star Wars ;;;;;;;;;;;;;;;;;;;;
Barbie;Toy;Play ;Ken;Doll ;Barbie (2023);;;;;;;;;;;;;;;;;;;;
Red ;Color;Paint;Blue;Crimson;Rainbow ;;;;;;;;;;;;;;;;;;;;
Thief;Criminal;Steal ;Police;Burglar ;Prison ;;;;;;;;;;;;;;;;;;;;
Boss;Position;Command ;Employee;Chief ;Company ;;;;;;;;;;;;;;;;;;;;
Jedi;Character;Meditate ;Sith;Force wielder ;The Jedi Temple ;;;;;;;;;;;;;;;;;;;;
Pilot;Profession;Fly ;Passanger;Aviator ;Airplane ;;;;;;;;;;;;;;;;;;;;
Creator ;Archertype;Create;Consumer ;Generator ;Art universities ;;;;;;;;;;;;;;;;;;;;
Chaos;State ;Struggle ;Peace ;Disorder ;Battlefield ;;;;;;;;;;;;;;;;;;;;
Heart;Organ;Pump;Brain ;Cardiac ;Circulatory system ;;;;;;;;;;;;;;;;;;;;
Birth;Event;Give ;Death ;Origin;Hospital ;;;;;;;;;;;;;;;;;;;;
Wedding;Event;Celebrate ;Divorce;Marriage;Magistrate ;;;;;;;;;;;;;;;;;;;;
Pregnancy;Event ;Expect ;Miscarrigage;Gestation;Hospital;;;;;;;;;;;;;;;;;;;;
Impeachement ;Event ;Remove ;Inauguration ;Denunciation ;Revolution ;;;;;;;;;;;;;;;;;;;;
Inauguration;Event;Swear ;Impeachment;Initiation;Presidental ceremony ;;;;;;;;;;;;;;;;;;;;
Dawn;Time;Break ;Dusk;Sunrise;Week ;;;;;;;;;;;;;;;;;;;;
Eclips;Astronomical event ;Obscure;Midday;Occultation ;Omen;;;;;;;;;;;;;;;;;;;;
Apple ;Technology ;Call ;Samsung ;Macintosh ;Stock market ;;;;;;;;;;;;;;;;;;;;
Eyes;Body part ;See;Mouth;Ocular;Spider ;;;;;;;;;;;;;;;;;;;;
Ear;Body part;Listen ;Mouth;Auricle ;Head ;;;;;;;;;;;;;;;;;;;;
Arms;Body part ;Pick up;Legs ;Upper limbs ;Octopus;;;;;;;;;;;;;;;;;;;;
Legs;Body part;Walk;Arms ;Lower limbs ;Centipede ;;;;;;;;;;;;;;;;;;;;
Scissors ;Tool ;Cut;Rock;Clippers ;Tailor shop;;;;;;;;;;;;;;;;;;;;
Photo;Object ;Capture;Drawing;Picture ;Photo album ;;;;;;;;;;;;;;;;;;;;
Heater ;Tool;Heat ;Freezer;Radiator;Heating system;;;;;;;;;;;;;;;;;;;;
Painter ;Profession;Paint ;Viewer ;Artist;Museum ;;;;;;;;;;;;;;;;;;;;
Key;Object ;Unlock ;Lock;Passcode;Keyboard;;;;;;;;;;;;;;;;;;;;
Sender ;Status;Send;Receiver ;Mailer;Post office ;;;;;;;;;;;;;;;;;;;;
Kiss;Action;Receive ;Hug;Smooch;Romance ;;;;;;;;;;;;;;;;;;;;
Censorship;Politics ;Censor ;Suppression;Feedom of speech;Dictatorship;;;;;;;;;;;;;;;;;;;;
Conditioner ;Product ;Moisturise;Frizz;Hair treatment ;Fabric softener ;;;;;;;;;;;;;;;;;;;;
Razor ;Tool;Shave ;Beard ;Shaver ;Barbershop;;;;;;;;;;;;;;;;;;;;
Hair dryer ;Tool;Blow ;Wet hair ;Blow dryer ;Hair salon ;;;;;;;;;;;;;;;;;;;;
Pillow;Object ;Prop;Rock;Cushion;Ikea ;;;;;;;;;;;;;;;;;;;;
Earplug;Object ;Protect ;Noise;Foam plugs ;Festival ;;;;;;;;;;;;;;;;;;;;
